"Artist","TotalAlbums"
"(G)I-dle","198589.00"
"AB6IX","43058.00"
"aespa","19629.00"
"Apink","58641.00"
"ATEEZ","3578.00"
"BAE173","16801.00"
"BamBam","87540.00"
"Bang Yongguk","6933.00"
"Billlie","66885.00"
"Blitzers","17719.00"
"Bolbbalgan4","2596.00"
"Brave Girls","33605.00"
"BTOB","121528.00"
"Cherry Bullet","20250.00"
"Choi Yena","84346.00"
"Cravity","123922.00"
"Def.","41148.00"
"DKZ","118583.00"
"Dreamcatcher","94706.00"
"Drippin","37535.00"
"E'LAST","48695.00"
"Enhypen","649016.00"
"Epex","71584.00"
"Epik High","5382.00"
"Eric Nam","2183.00"
"Everglow","2450.00"
"fromis_9","120245.00"
"Ghost9","9311.00"
"Ha Sungwoon","18717.00"
"Highlight","86293.00"
"ILY:1","3181.00"
"IVE","477351.00"
"Jinjin & Rocky","57401.00"
"Just B","51504.00"
"Kai","5373.00"
"Kang Hyewon","18305.00"
"Kep1er","271048.00"
"Kihyun","141407.00"
"Kim Jaehwan","9639.00"
"Kim Junsu","55470.00"
"Kim Sungkyu","28082.00"
"Kim Wooseok","67957.00"
"Kim Yohan","51754.00"
"Kingdom","19450.00"
"Kwon Eunbi","55923.00"
"Kyuhyun","37215.00"
"Lee Seokhoon","7673.00"
"Lee Seungyoon","7640.00"
"Lisa","73336.00"
"LUNA","3705.00"
"Max Changmin","21831.00"
"Mirae","48067.00"
"Miyeon","90064.00"
"Monsta X","307683.00"
"Moonbin & Sanha","144205.00"
"Moonbyul","164628.00"
"NCT 127","61525.00"
"NCT 2021","118633.00"
"NCT Dream","1649993.00"
"NINE.i","3618.00"
"NMIXX","406936.00"
"NU'EST","63446.00"
"Oh My Girl","66912.00"
"Omega X","86941.00"
"Onew","119006.00"
"ONEWE","18075.00"
"ONF","4396.00"
"OnlyOneOf","49362.00"
"P1Harmony","91969.00"
"Pentagon","90114.00"
"Purple Kiss","32266.00"
"Ravi","10359.00"
"Red Velvet","560838.00"
"Rocket Punch","20055.00"
"Seventeen","30049.00"
"SMTOWN","350331.00"
"Solar","43599.00"
"StayC","182131.00"
"Stray Kids","1014506.00"
"Suho","186465.00"
"Super Junior","142663.00"
"Super Junior - D&E","8458.00"
"Taeyeon","179611.00"
"Tan","8870.00"
"Tempest","82307.00"
"The Boyz","16139.00"
"Treasure","668539.00"
"Trendz","6170.00"
"Twice","8293.00"
"UP10TION","31415.00"
"Verivery","97187.00"
"Victon","60959.00"
"Viviz","43638.00"
"Weeekly","81537.00"
"WEi","119853.00"
"Wheein","69470.00"
"WJSN Chocome","15135.00"
"Wonho","56627.00"
"Wonpil","33668.00"
"Yoon Jisung","6595.00"
"Younha","7001.00"
"Younite","21927.00"
"Yuju","22970.00"
